小学名称,划片范围（具体街道名称）
成都市天涯石小学,天涯石南街，天涯石东街，天涯石西街，干槐树街，福字街，毛家拐，惜字宫南街，书院东街，书院西街，书院南街，新巷子，四圣祠南街，水东门街，北顺城街，东顺城街，望福街，东安南路，如是庵，爵版街，穿巷子，北纱帽街，红星路二段1-119号单号，红星路三段1-121号单号，东顺城南街，东顺城中街，大慈寺路，武成（城）大街，庆云西街，落虹桥街，天涯石北街，四圣祠北街，东安北路，东安北左街，庆云南街，中道街，藩库街
成都市和平街小学,和平街，竹林巷，慈惠堂，东玉龙，隆兴街，燕鲁公所街，双栅子，永兴巷，桂王桥东街，桂王桥西街，桂王桥南街，桂王桥北街，三倒拐街，冻青树街，岳府街，红星路二段2-126号双号，红星路三段2-16号双号，梓潼桥西街，梓潼桥正街，梓潼桥东街，纯阳观，华兴正街，华兴上街，华兴东街，悦来场街，商业场，福兴街，新集场巷，大科甲巷，正科甲巷，城守街，总府街，联隆巷，福兴巷，春熙路东段，春熙路西段，春熙路南段，春熙路北段，暑袜北一街，暑袜北二街，暑袜北三街，北新街，新街后巷子，玉成街，联开街，联升巷，暑袜中街，南沟头巷，西沟头巷，暑袜南街，青年路，交通路，横九龙巷，提督街，荔枝巷，布后街，锦华馆街
成都市天涯石小学昭忠祠分校,昭忠祠街，红星路一段1-39号单号，东城拐街，东城拐下街，五昭路，新华东路，三槐树路，城隍庙街，东较场街，玉皇观街，五世同堂街，红星路二段119号、159号、161号、167号，四圣祠东街，四圣祠西街，华星路，东新街，庆云北街
成都市盐道街小学,盐道街，指挥街，人民南路二段，滨江西路，滨江中路1－14号、18号，上南大街单号，中南大街单号，下南大街59号，红照壁街，纯化街，新光华街，红星中路四段２号及附号，锦兴路单号，西丁字街，状元街，中莲池正街，中莲池横街，东丁字街，横丁字街，自强街，前卫街，新开街，南府街，东府街，烟袋巷，东桂街，光华街，金字街，大塘坎街，安居巷1-19号，飞龙巷
成师附小,染房街，梨花街，锦江里，锦江路，大业路，青莲巷，老半边街，青石桥北街，向阳街，学道街，南新街，中新街，中新横街，古卧龙桥街，走马街，东大街上东大街段，粪草湖，光大巷，保全巷，斧头巷，丝棉街，红星路四段（双号，不含2号），青石桥中街，青石桥南街，新半边街，西龙须巷，余庆桥街，安居巷19号之后，向荣桥街，桂花街，治平街，张化街，青平巷，公平巷，锦兴路（双号），老古巷，城守东大街，督院街，大有巷，人民东路，东御街，东华正街，东华门街，东华南街，宾隆巷，下西顺城街
成都市龙王庙正街小学,龙王庙正街，龙王庙南街，红星路四段1-337号单号，耿家巷，铜井巷，王家坝街，三圣街，东升街，磨房街，东大街（红星路四段街口至清安街口双号），滨江东路（红星路四段街口至合江亭），下莲池街，中纱帽街，南纱帽街，金玉街，东大街下东大街段，江南馆街，兴业里，东锦江街，东南里，三元巷，王家坝后街，青莲街，天仙桥南路，青莲上街，青莲下街，清安街，红石柱正街，红石柱横街，拱背桥街，崇德里，傥扒街（镗钯街、镋钯街），义学巷，红布正横街，红布正街
成都市七中育才附属小学锦官驿校区,锦官驿，水井街，黄伞巷，存古巷，大同巷，青莲横街，大安正街，大川巷，珠市街，群五巷，天仙桥北路，水津街，莲花池，建国东街，御河边街，万年桥，太平下街，牛王庙上街，牛王庙后街，紫东正街，东大街紫东楼段，一环路东四段，牛王庙下街，建设南村，建设北村，牛王庙巷，光明路，向明巷，年丰巷，一环路东五段单号，东大街芷泉段，青龙正街，紫东楼街，东糠市街，西糠市街，南糠市街，北糠市街，马家巷，和尚街，笔帖式街，油篓街，天福街，香巷子，点将台街，点将台东街，点将台东二巷，点将台西二巷，点将台横街，较场坝街，较场坝中街，较场坝西街，较场坝东街，椒子街，均隆街，三多巷，东风路，青和里东街，青和里南段，青和里西街，青和里北段，孙家巷，青龙横街，大小草院坝，月城街，南马道，牛王庙正街，章华里，滨江东路（合江亭至九眼桥），星桥街，双槐树街，金泉街，天仙桥滨河路，潭罐窑巷
成都市盐道街小学(东区）,莲桂西路，莲桂南路，莲花南路，莲花西路，莲花中路，二环路东四段西侧134-428号双号，莲花新区南一巷，莲花新区南二巷，莲花新区北一巷，莲花新区北二巷，莲花新区北三巷，莲桂街，海椒市街16号以后（不含103号），三官堂街16号，国信路，河滨路，河心路，橡树林路66号、166号、163号，龙舟路1号、2号、50号、52号、58号、60号、68号，新桂村西五街，工农院街，莲花东路，顺江路367号、371号
成都市娇子小学,宋公桥街，化成寺街，宏济东路，宏济上路，宏济中路，宏济新路，一洞桥街，顺江路（不含367号、371号），一环路东五段双号，新桂巷，宏顺街，宏济巷，锦东路2－312号双号，石佛寺街，莲花北路，海椒市街7-14号，东四街，东四横街，海椒市横街，一心桥南街75号及以后，二环路东四段58号、94号
成都市龙舟路小学,净居寺路（不含净居寺路20号农科院27栋、45号），北顺街，糍粑店街，安信路，东光北顺街，北顺西巷，锦华路一段1－65号（不含8号），锦华路5号，牛沙横街，牛沙后街，净居寺西街，龙舟南街，龙舟东巷，三官堂街（不含16号），龙舟路（不含1号、2号、50号、52号、58号、60号、68号），净居寺南街沙河内，二环路东四段东侧87号、89号、91号、93号，二环路东五段1号、3号、5号、7号、10号、126号，汇泉南路106号以前（不含106号），牛沙巷60号（原净居寺村二组），牛沙巷6号（原莲花村六组），龙舟路小区（龙舟路小区路）1-6号
成师附小万科分校,静安路1号，花园街
成都市沙河堡小学,上沙河铺街(不含204号、205号、206号、209号、212号、215号、217号），中沙河铺街，下沙河铺街（不含42号），中沙河横街，大营门街，秀水街，上沙河新村，石灰桥，花果村8组、9组，静明路75、77号，岷山路，塔子山南街，岷江路，大凉山路，二郎山路，安宁河路（锦江段）
成都市盐道街小学得胜分校,晨辉路，晨辉北路，晨辉东路，仁居路，经天路，琉三路，金象寺村（拆迁安置在该登记范围内），经天东路，经天中路，经天西路，经天一街，经天二街，经天三街，锦华路二段，经天里，琉璃一街，琉璃二街，琉璃三街，琉璃中街，科创路，琉璃路661号、1233号，琉璃村，柳翠路，翠凤路，洗瓦堰路，麻柳湾村1-3组（拆迁安置在该登记范围内），包江桥村1组（拆迁安置在该登记范围内），皇经楼村1组、2组（拆迁安置在该登记范围内），琉璃场街，狮子山路4号，静平路，晨光路
成都市锦江区外国语小学,牡丹街595号、692号、879号，黄葛树街5号，红豆树街77号、377号，樱花街383号、999号、1238号、1338号，百日红中路506号，芙蓉西路115号、333号、468号、707号，茶花街106号、488号，月季街167号、199号、765号，玫瑰街7号、8号、10号，银木街505号、631号、675号、721号，椿树街393号，喜树街455号
成都市锦江区大观小学校,大观村，花果村2-5组，华新村3组，新华村6组、7组、9组，大观街(不含158号、160号)，大观里，大观堰街，迎晖路，上沙河铺204号、205号、215号、217号，静明路247号、369号
成都市菱窠路小学,花果村6组、7组，劼人路，菱窠路，菱窠西路，菱窠东路，狮子山路（不含4号），静安路（不含1号），静渝路，静康路双号，静明路双号（不含488号），佳宏路，菱安路，佳宏北路，静沙南路，锦绣大道3800号、3555号、3688号，静缘路，佳宏南路，静嘉路
